Max_Ve,Min_Ve,Avg_Ve,Std_Ve,is_error,N
26.10,16.40,21.36,2.63,0,228
26.70,18.70,22.47,1.72,0,229
83.90,17.60,25.16,14.02,0,230
26.20,16.90,21.01,2.41,0,231
84.100010,18.20,24.64,14.10,0,232
24.40,17.60,20.75,1.67,0,233
27.20,18.50,22.40,2.75,0,234
25,17.50,21.37,2.25,0,235
28.10,15.80,23.34,3.13,0,236
24,18.50,21.11,1.54,0,237
25.40,16.20,21.99,2.12,0,238
25.50,18.50,21.85,1.77,0,239
38.60,18.10,22.41,4.23,0,240
26.10,18.80,22.75,2.03,0,241
24.60,18.90,21.56,1.50,0,242
26.50,19.10,21.48,1.76,0,243
26.40,19.30,21.69,2.04,0,244
25.10,16.50,20.41,2.18,0,245
22.70,15.70,19.85,1.59,0,246
22.40,17,19.86,1.42,0,247
24.10,16.60,19.74,1.84,0,248
26.40,18.20,21.97,1.93,0,249
26.50,19.20,22.77,1.89,0,250
26.60,17.50,22.07,2.74,0,251
25.20,17.20,20.88,1.95,0,252
23.30,16.30,19.71,2,0,253
24.70,17.30,20.24,1.77,0,254
83.80,16.40,22.07,14.59,0,255
22.90,17.30,20.23,1.47,0,256
23.80,18,20.91,1.42,0,257
24.10,15.50,19.93,1.91,0,258
25.10,16.60,20.43,2.38,0,259
27.40,17.90,20.88,2.28,0,260
26.20,17.40,20.45,2.38,0,261
24.90,16.50,20.02,2.13,0,262
23.90,16.40,20.25,2.20,0,263
30.30,15.50,20.07,3.43,0,264
24.80,17.50,20.97,2.21,0,265
26.30,18.60,22.48,2.08,0,266
23.70,16.50,19.79,2.15,0,267
84.40,18.30,24.40,14.27,0,268
39.10,18.30,22.73,4.44,0,269
23.40,17.50,19.92,1.44,0,270
25.50,16,21.52,2.38,0,271
26.10,17.60,20.99,2.07,0,272
23.60,15.60,20.43,2.26,0,273
24.50,16,21.25,2.10,0,274
25.40,16.10,19.76,2.21,0,275
24.30,16,19.66,2.31,0,276
24.30,17.40,20.76,1.96,0,277
24.80,17.80,21.23,1.89,0,278
26.50,15.80,20.40,2.84,0,279
22.80,16.20,19.58,1.68,0,280
22.20,16.80,19.53,1.69,0,281
23.30,16.50,20.33,2.18,0,282
25.60,17.40,20.67,2.08,0,283
23.80,16.70,20.26,2.03,0,284
25.60,17.90,21.83,2.18,0,285
25,16.40,20.64,2,0,286
24.60,14.60,19.46,2.32,0,287
