Max_Ve,Min_Ve,Avg_Ve,Std_Ve,is_error,N
8.60,6.40,7.35,0.52,0,218
9.50,6,7.28,0.89,0,219
8.40,5.60,6.86,0.66,0,220
8.50,5.90,7.15,0.68,0,221
7.50,5.50,6.54,0.59,0,222
8.50,6.40,7.45,0.63,0,223
8.70,4.70,6.75,1.01,0,224
9.10,5.30,7.59,0.81,0,225
7.60,5.70,6.67,0.55,0,226
8.70,5.60,6.92,0.81,0,227
8.80,6.10,7.34,0.74,0,228
9,5.90,7.36,0.82,0,229
8.50,5.40,7,0.83,0,230
9.60,6.60,7.95,0.73,0,231
10.60,7.30,8.63,0.89,0,232
9,5.90,7.97,0.79,0,233
9.30,6.60,7.88,0.66,0,234
9.20,6.50,7.66,0.82,0,235
11.80,6.50,8.35,1.26,0,236
12.50,7.30,8.99,1.26,0,237
8.50,5.70,7.19,0.83,0,238
8.30,5.80,6.68,0.64,0,239
8.70,5.90,7,0.78,0,240
8.60,5.40,7.32,0.87,0,241
12.10,8.30,10.06,1.12,0,242
18.30,7.10,9.59,2.36,0,243
8.90,6.10,6.96,0.65,0,244
12.60,5.60,7.21,1.41,0,245
8,5.30,6.58,0.66,0,246
9.20,6.90,7.79,0.77,0,247
10.10,5.80,8.01,1.18,0,248
11.60,5.90,8.39,1.21,0,249
8.60,5.70,7.16,0.84,0,250
8.50,5.60,6.70,0.78,0,251
8.90,5.30,6.79,0.88,0,252
9.70,6.20,8.08,0.81,0,253
9.50,5,7.10,1.12,0,254
8.70,5.60,6.90,0.91,0,255
8.80,5.60,6.82,0.85,0,256
7.80,5.70,6.29,0.54,0,257
10.10,6.80,8.44,0.95,0,258
13,7,8.59,1.25,0,259
8.70,6.50,7.33,0.58,0,260
8.70,5.50,6.87,0.72,0,261
7.70,5,6.62,0.63,0,262
9.50,6.80,8.04,0.87,0,263
18.20,6.90,8.56,2.39,0,264
20.10,6.20,8.67,2.86,0,265
9.10,6.30,7.44,0.69,0,266
8.90,6.20,7.66,0.83,0,267
7.90,5.80,6.71,0.51,0,268
10.20,6,7.62,0.92,0,269
9.10,6.70,8.02,0.76,0,270
11,6.30,7.94,1.21,0,271
9.80,6.40,7.60,0.91,0,272
13.10,5.50,7.17,1.62,0,273
8.20,4.40,6.67,0.86,0,274
9,5.30,7.33,0.99,0,275
8.20,5.40,6.75,0.84,0,276
10,5.90,7.18,0.98,0,277
12,5.10,7.09,1.43,0,278
8.90,5.10,6.85,1.04,0,279
8.90,5.70,7.45,0.90,0,280
9.40,6.10,7.49,0.85,0,281
9.10,6,6.99,0.84,0,282
25.50,5.10,7.06,4.40,0,283
10.20,5,6.35,1.23,0,284
6.20,3.30,4.84,0.67,0,285
6.70,4.10,5.37,0.69,0,286
7,4.20,5.54,0.73,0,287
10.30,3.70,5.99,1.40,0,288
7,4,5.35,0.79,0,289
7.10,4.80,5.88,0.51,0,290
7.10,4.70,5.90,0.69,0,291
