Max_Ve,Min_Ve,Avg_Ve,Std_Ve,is_error,N
11.10,7,8.72,1.02,0,438
10.70,7,9.08,1.15,0,439
15.30,5.90,9.42,2.19,0,440
10.90,6.90,8.50,1.15,0,441
13,7.50,9.94,1.33,0,442
11.50,6.80,9.64,1.28,0,443
10.80,6.70,8.22,1.11,0,444
10.80,7.50,9.07,1.15,0,445
12.20,7.40,9.67,1.36,0,446
10,6.30,8.36,1.02,0,447
12.20,7.60,10.58,1.21,0,448
11.80,7.80,9.53,1.14,0,449
11.60,7.80,9.95,1.14,0,450
11.50,8.40,10.11,0.83,0,451
14.70,8.90,11.32,1.81,0,452
11.70,8.30,9.36,0.97,0,453
12.40,8.10,10.06,1.02,0,454
13.80,7,10.32,1.66,0,455
12.40,8.40,9.92,1.26,0,456
11,7.40,9,0.88,0,457
12.90,8.10,9.97,1.35,0,458
15.50,6.80,11,2.35,0,459
11.10,7.90,9.73,0.92,0,460
12.70,7.50,9.68,1.43,0,461
12.40,6.80,9.65,1.46,0,462
15.60,8.30,10.71,2,0,463
13.40,8.50,10.64,1.19,0,464
9.90,5.70,7.88,0.95,0,465
10,7.20,8.59,0.81,0,466
10.50,5.80,8.47,1.05,0,467
11.80,7,9.06,1.35,0,468
11.30,7.50,8.77,0.95,0,469
10.90,7,8.82,1.06,0,470
11.50,5.80,8.57,1.26,0,471
10.80,6.80,8.47,1.24,0,472
11.80,7.60,9.79,1.13,0,473
11.60,7,8.50,0.93,0,474
10.80,5.80,8,1.36,0,475
10.70,7.30,9.36,0.99,0,476
12.60,5.80,9.08,1.28,0,477
9.80,5.90,7.88,1.03,0,478
12.50,5.50,8.89,1.61,0,479
10.20,6,8.13,1.27,0,480
9.30,7.20,8.43,0.63,0,481
10.30,7.10,8.40,0.84,0,482
11.70,6.40,9.62,1.46,0,483
11.20,7,8.51,1.16,0,484
11.90,7.80,9.78,1.21,0,485
9.90,6,7.53,0.98,0,486
12.70,6.30,10.19,1.58,0,487
11.40,6,8.70,1.17,0,488
12.30,6.80,9.45,1.43,0,489
9.50,5.60,8.04,0.92,0,490
13.50,5.70,9.64,1.93,0,491
10.50,6.30,8.16,0.99,0,492
11.10,7.70,9.26,0.83,0,493
9.40,5.90,7.55,0.81,0,494
12,6.40,9.15,1.36,0,495
10.90,7.80,9.18,0.98,0,496
27.70,7.10,9.64,4.34,0,497
9.50,5.10,7.44,1.32,0,498
12,7.10,9.07,1.24,0,499
10.70,6.30,8.40,1.14,0,500
9.30,5.90,7.50,0.90,0,501
9.80,4.90,7.90,1.46,0,502
11.30,6.40,8.89,1.55,0,503
19,6.90,8.79,2.55,0,504
11.30,6.90,8.54,1.03,0,505
9.80,5.90,8.01,1.08,0,506
12.80,6.50,9.88,1.77,0,507
11.20,7.30,9.09,1.07,0,508
13.50,6.70,8.95,1.78,0,509
9.80,6.40,8.14,1.13,0,510
11.30,5.70,8.81,1.78,0,511
11,7.20,8.78,0.90,0,512
10.30,6.90,8.27,0.90,0,513
12.60,7.30,8.96,1.39,0,514
12.30,6.50,9.29,1.37,0,515
11.50,7,8.96,1.18,0,516
11.30,7.40,9.73,0.96,0,517
11.80,7.20,8.74,1.02,0,518
10.70,6.90,9.17,1.09,0,519
10.90,5.90,8.48,1.11,0,520
10.90,6.90,8.75,1.08,0,521
10.20,6.30,8.04,1.07,0,522
10.70,5.90,8.51,1.23,0,523
15,8.30,10.64,1.49,0,524
13.30,8.90,10.31,1.33,0,525
12,8.50,10.04,0.93,0,526
10.50,6.90,8.31,0.93,0,527
10.20,6.30,8.34,1.06,0,528
11.30,7.10,9.10,1.07,0,529
9.70,5.30,7.70,1.26,0,530
13.60,8.70,11.37,1.36,0,531
11.90,8.60,10.06,0.98,0,532
13,9.50,11.31,0.99,0,533
12.40,7.50,9.94,1.36,0,534
15.10,9.40,12.37,1.43,0,535
13.80,9.30,11.28,1.24,0,536
14.10,9.80,11.43,1.14,0,537
14.40,9.80,12.03,1.24,0,538
11.80,8.80,10.32,0.94,0,539
13.20,8.70,10.67,0.94,0,540
16.60,10.70,12.04,1.44,0,541
14.10,9.10,11.81,1.28,0,542
14,7.70,10.79,1.49,0,543
14.20,10,11.62,1.36,0,544
12.90,8.60,11.07,1.05,0,545
12.80,8.90,11.20,0.89,0,546
12.70,8.60,10.53,0.98,0,547
13.50,10,11.28,0.98,0,548
12.80,8.10,10.75,1.21,0,549
14.10,9.60,11.07,0.94,0,550
12.90,9.50,11.08,0.80,0,551
21.60,7.80,11.05,2.76,0,552
12,8.10,10.27,1.02,0,553
12.20,9.20,10.84,0.77,0,554
11.40,7.40,9.42,1.21,0,555
20.70,8.80,11.17,2.46,0,556
11.30,5.30,9.32,1.28,0,557
12.70,8.30,10.45,1.34,0,558
13.80,6.70,9.48,1.70,0,559
11.80,6.80,9.79,1.30,0,560
11.20,6.60,8.86,1.12,0,561
11.70,7.30,9.60,1.13,0,562
12.30,7.40,9.35,1.37,0,563
13.20,8.80,10.79,1.33,0,564
12.60,6.90,9.46,1.65,0,565
21.40,7.20,10.39,3.01,0,566
