Max_Ve,Min_Ve,Avg_Ve,Std_Ve,is_error,N
33.10,24.10,28.30,2.51,0,214
32.50,24.60,27.11,2.25,0,215
33,19.20,26.45,3.43,0,216
30,24.40,27.08,1.55,0,217
30.30,22.60,25.99,2.34,0,218
30.40,21.40,26.82,2.37,0,219
30.80,20.50,26.89,2.81,0,220
30,21,25.79,2.32,0,221
83.60,22.50,30.86,12.80,0,222
28.90,16.80,24.52,3.33,0,223
27.10,17.10,23.49,2.23,0,224
30,22.30,26.64,2.03,0,225
30.20,22.50,26.77,2.46,0,226
32.50,22.50,27.84,2.59,0,227
31,25.40,27.81,1.67,0,228
31.10,22.10,26.34,2.29,0,229
31,22.20,27.19,2.14,0,230
32,20.80,26.80,2.87,0,231
32.90,20.20,28.15,3.28,0,232
31.10,23.70,26.30,2.12,0,233
31.90,23.20,27.61,1.95,0,234
32,22.30,28.03,2.05,0,235
29.10,22.80,26.51,1.98,0,236
31.50,26.60,28.90,1.49,0,237
31.20,25.20,27.78,1.39,0,238
29.40,24.50,26.92,1.36,0,239
32.30,23.10,28.60,2.20,0,240
43.80,21.80,27.25,4.24,0,241
33.70,24,28.56,2.56,0,242
33.30,24.30,29.32,2.30,0,243
33.40,26.40,29.30,2.22,0,244
42.80,23.60,28.95,4.11,0,245
