Max_Ve,Min_Ve,Avg_Ve,Std_Ve,is_error,N
25.40,14.40,19.17,2.93,0,466
29.50,17.80,23.96,2.87,0,467
22.90,15.30,19.09,1.81,0,468
28.10,14.70,19.43,3.25,0,469
27.20,14.20,19.42,3.06,0,470
22.30,13.90,18.18,2.49,0,471
27.60,16.50,20.12,3.24,0,472
24.80,14.40,17.58,2.66,0,473
24,14.70,18.42,2.92,0,474
21.30,15.40,18.33,1.80,0,475
23.20,13.40,19.40,2.70,0,476
83.50,16.60,22.62,14.50,0,477
22.40,15.20,18.38,1.99,0,478
24.30,13.80,19.16,2.74,0,479
22.40,15.50,18.74,2.08,0,480
21,13.30,17.38,2.08,0,481
34.20,13,20.19,4.35,0,482
22.70,13.60,18.45,3.17,0,483
24,12.90,17.96,3.24,0,484
21.60,15,18.13,1.88,0,485
21.60,14.70,18.26,2,0,486
23.40,14.50,18.16,2.10,0,487
17.50,17.50,17.50,0,0,488
21.50,14.60,17.96,1.73,0,489
23.20,14.60,17.84,2.26,0,490
21.10,15.50,18.05,1.46,0,491
22.90,13.50,18.36,2.30,0,492
23.10,15.40,18.73,1.84,0,493
21.50,16.10,18.78,1.38,0,494
22.50,14.40,18.02,1.97,0,495
20.80,14.30,18.52,1.74,0,496
22.40,16.30,18.72,1.74,0,497
21.90,15.80,19.03,1.84,0,498
23.40,17.10,20.09,1.84,0,499
21.10,13.90,17.56,1.74,0,500
23.70,16.10,20.02,2.03,0,501
24.90,14.60,18.75,2.57,0,502
23.60,14.80,18.32,2.33,0,503
25,15.90,19.77,2.31,0,504
23,16.30,18.66,1.83,0,505
24.30,15.20,18.27,1.98,0,506
19.50,12.90,17.60,1.55,0,507
22.70,14,18.03,2.10,0,508
83.90,15.40,21.38,14.84,0,509
20.70,15.50,18.13,1.50,0,510
21.20,15,17.91,1.82,0,511
22.10,16.20,18.84,1.82,0,512
27.20,16.90,20.12,2.51,0,513
20.60,15.30,18.43,1.52,0,514
22.70,15.80,18.43,1.78,0,515
30.10,15.40,19.66,3.37,0,516
24.30,15.60,18.96,2.04,0,517
23.20,17.70,21.30,1.57,0,518
21.40,14.10,17.54,2.18,0,519
22.70,15.30,17.97,1.98,0,520
28.30,15.90,20.14,3.44,0,521
27.90,16.90,20.65,2.94,0,522
24.40,16.30,19.67,1.95,0,523
24.10,16.10,20.14,1.89,0,524
24,14.30,18.27,2.68,0,525
22.50,15.90,18.33,1.56,0,526
