Max_Ve,Min_Ve,Avg_Ve,Std_Ve,is_error,N
11.70,6.30,9.25,1.41,0,413
15.20,6.90,9.74,1.67,0,414
10.80,7.90,9.27,0.88,0,415
10.50,7,8.62,0.89,0,416
12.10,7.30,9.31,1.13,0,417
12.30,7.80,9.85,1.07,0,418
11.60,8.10,9.43,1,0,419
9.70,7.70,8.76,0.60,0,420
10.50,7.10,8.64,0.97,0,421
12.20,8.60,10.71,0.79,0,422
11.80,7.20,9.41,1.15,0,423
9.70,6,7.70,1.09,0,424
11.60,7,9.79,1.19,0,425
11.20,7.70,9.25,1.08,0,426
10.30,6.90,8.67,1.01,0,427
9.80,6.10,7.88,0.93,0,428
10.30,6.20,7.96,1.10,0,429
9.80,6.10,7.90,0.87,0,430
10.90,7.10,9.27,0.90,0,431
11.30,7.30,8.92,1.13,0,432
11.90,7.80,9.61,1.18,0,433
10.80,6.90,8.53,0.94,0,434
10.90,7.40,9.05,0.96,0,435
10.80,7.30,8.76,0.95,0,436
10,6.40,8.56,0.97,0,437
9.40,6.50,7.82,0.72,0,438
11.30,5.90,8.55,1.32,0,439
10.40,6,8.01,1.19,0,440
12.30,7,9.67,1.20,0,441
10.50,7.30,8.54,0.83,0,442
12.40,7.70,9.43,1.13,0,443
10.30,7.40,8.50,0.78,0,444
12.40,8.30,9.67,1.01,0,445
10.20,7.80,8.90,0.63,0,446
11.30,7.40,9.76,1.01,0,447
11.10,7.60,9.51,0.73,0,448
9.90,7,8.32,0.75,0,449
11.90,8.20,10.03,1.05,0,450
11.80,8.10,9.66,1.11,0,451
10.30,8.20,9.15,0.62,0,452
11.80,7.90,9.70,1.13,0,453
10.80,7.90,9.18,0.85,0,454
11,8.20,9.74,0.68,0,455
12.30,8.40,9.64,1.04,0,456
10.60,8.10,9.38,0.80,0,457
28.90,24.40,26.23,1.22,0,458
11.90,8.60,10.24,0.91,0,459
10.90,7.40,9.27,0.89,0,460
13.20,9,10.62,1.12,0,461
11.90,7.40,9.83,1.22,0,462
10.90,6.70,8.76,0.99,0,463
12.20,8.50,9.86,0.87,0,464
11.30,7.90,9.77,0.88,0,465
11.10,7.40,9.30,0.88,0,466
11.90,9,10.59,0.85,0,467
12.70,8.30,10.65,1.16,0,468
11.80,8,9.90,0.98,0,469
12.90,8.90,10.77,1.17,0,470
11.50,8,9.63,1.01,0,471
8.60,6.40,7.69,0.64,0,472
12.50,8.10,9.85,1.20,0,473
14.30,7.70,9.95,1.72,0,474
9.80,7,8.25,0.67,0,475
11.40,7.60,9.87,0.98,0,476
13,7.10,9.85,1.30,0,477
8.70,6.30,7.79,0.57,0,478
