M,C,d,L,R,T,N
0.9850,24.2650,0.4150,84.1920,0.9040,2025-01-02 19:16:47,8.0
0.9960,24.2290,0.3360,83.9060,0.8960,2025-01-02 19:16:47,8.0
1.03,24.3030,0.46,84.0260,0.8660,2025-01-02 19:16:47,8.0
0.9760,24.2880,0.3460,84.0620,0.9660,2025-01-02 19:16:47,8.0
1.0770,24.2160,0.5480,84.22,0.9720,2025-01-02 19:16:47,8.0
1.0510,24.2020,0.4950,83.99,0.9280,2025-01-02 19:16:47,8.0
1.02,24.33,0.39,84.1220,0.9040,2025-01-02 19:16:47,8.0
0.9980,24.2210,0.7250,84.0670,0.9090,2025-01-02 19:16:47,8.0
1.0060,24.4050,0.7950,83.8850,0.9170,2025-01-02 19:16:47,8.0
1,24.2430,0.3270,83.8640,0.8520,2025-01-02 19:16:47,8.0
1.0190,24.1710,0.7730,83.9780,0.9290,2025-01-02 19:16:47,8.0
1.0280,24.2660,0.6780,83.8860,0.8980,2025-01-02 19:16:47,8.0
1.0430,24.3150,0.49,84.0080,0.8980,2025-01-02 19:16:47,8.0
1,24.2290,0.4760,84.1770,0.8570,2025-01-02 19:16:47,8.0
1.04,24.3210,0.4840,84.0040,0.8980,2025-01-02 19:16:47,8.0
1.0280,24.2930,0.3740,83.7820,0.8510,2025-01-02 19:16:47,8.0
1.0320,24.2270,0.4560,84.3270,0.9290,2025-01-02 19:21:48,9.0
1.0310,24.2970,0.4880,84.1040,0.9320,2025-01-02 19:21:48,9.0
1.0350,24.2120,0.3960,84.01,0.9620,2025-01-02 19:21:48,9.0
1.0270,24.3680,0.4320,83.9880,0.89,2025-01-02 19:21:48,9.0
1.0220,24.2550,0.3490,84.2570,0.9260,2025-01-02 19:21:48,9.0
1,24.32,0.4350,84.0550,0.8780,2025-01-02 19:21:48,9.0
1.0630,24.3570,0.39,84.0190,0.97,2025-01-02 19:21:48,9.0
1.0290,24.26,0.3650,83.9740,0.8690,2025-01-02 19:21:48,9.0
1.0150,24.2730,0.4020,83.88,0.8940,2025-01-02 19:21:48,9.0
1.0460,24.3110,0.53,84.0080,0.90,2025-01-02 19:21:48,9.0
1.0120,24.2880,0.3530,83.7970,0.9140,2025-01-02 19:21:48,9.0
1.0360,24.2930,0.4050,84.0010,0.9330,2025-01-02 19:21:48,9.0
1.0110,24.3470,0.4320,84.3010,0.9370,2025-01-02 19:21:48,9.0
1.0380,24.3120,0.3980,84.1890,0.9660,2025-01-02 19:21:48,9.0
1.0460,24.3430,0.3960,84.0240,0.8640,2025-01-02 19:21:48,9.0
1.0210,24.2810,0.4050,83.8850,0.9220,2025-01-02 19:21:48,9.0
1.0270,24.3230,0.5150,84.2770,0.9380,2025-01-02 19:21:48,9.0
1.0840,24.3180,0.4020,84.21,0.9270,2025-01-02 19:21:48,9.0
1.0990,24.2580,0.4750,84.2220,0.9450,2025-01-02 19:21:48,9.0
1.0010,24.3460,0.3950,84.19,0.8920,2025-01-02 19:21:48,9.0
1.0290,24.3140,0.3370,84.0530,0.9650,2025-01-02 19:26:50,10.0
1.0670,24.38,0.2850,83.9990,0.9740,2025-01-02 19:26:50,10.0
1.0140,24.2960,0.4250,83.91,0.9360,2025-01-02 19:26:50,10.0
1.0420,24.29,0.3580,83.82,0.9560,2025-01-02 19:26:50,10.0
1.05,24.30,0.3980,84.18,0.9530,2025-01-02 19:26:50,10.0
1.0370,24.2390,0.4520,83.9860,0.8860,2025-01-02 19:26:50,10.0
1.0140,24.2610,0.2570,84.2330,0.9580,2025-01-02 19:26:50,10.0
1.0080,24.2060,0.7250,84.0710,0.9460,2025-01-02 19:26:50,10.0
1.0570,24.3850,0.3570,83.8740,0.9690,2025-01-02 19:26:50,10.0
1.0280,24.2610,0.4130,83.66,0.97,2025-01-02 19:26:50,10.0
1.02,24.3450,0.2840,83.6910,0.9460,2025-01-02 19:26:50,10.0
1.06,24.3110,0.3350,83.76,0.9340,2025-01-02 19:26:50,10.0
1.0230,24.4250,0.5370,83.8790,0.9340,2025-01-02 19:26:50,10.0
1.0550,24.3710,0.3710,83.8880,0.9480,2025-01-02 19:26:50,10.0
0.9860,24.2560,0.2990,83.7840,0.9050,2025-01-02 19:26:50,10.0
1.0230,24.2710,0.4940,83.7890,1.0070,2025-01-02 19:26:50,10.0
0.9830,24.25,0.3960,83.7440,0.9090,2025-01-02 19:26:50,10.0
1.0190,24.2180,0.5440,83.7010,0.9490,2025-01-02 19:26:50,10.0
1.0130,24.28,0.2990,83.7990,0.9160,2025-01-02 19:26:50,10.0
1.0550,24.30,0.2480,83.7610,0.9830,2025-01-02 19:26:50,10.0
1.0240,24.3190,0.3970,83.8620,0.8910,2025-01-02 19:46:55,11.0
