M,C,d,L,R,T,N
0.7170,20.0340,0.4090,88.6890,1.1530,2025-01-04 19:09:07,8.0
0.7150,20.0680,0.6540,88.5960,1.0480,2025-01-04 19:09:07,8.0
0.7020,19.8740,0.6790,88.7770,1,2025-01-04 19:09:07,8.0
0.7210,19.93,0.3320,89.1540,1.0990,2025-01-04 19:09:07,8.0
0.7080,19.94,0.50,88.9430,1.0320,2025-01-04 19:09:07,8.0
0.7380,20.0750,0.3750,89.0060,1.1590,2025-01-04 19:09:07,8.0
0.7130,20.0430,0.3220,89.0180,1.0650,2025-01-04 19:09:07,8.0
0.72,19.9460,0.2940,88.62,1.0820,2025-01-04 19:09:07,8.0
0.7150,19.9620,0.5280,88.51,1.0480,2025-01-04 19:09:07,8.0
0.7110,20.0250,0.5740,89.1010,1.1340,2025-01-04 19:09:07,8.0
0.7350,20.1030,0.5220,89.09,1.1660,2025-01-04 19:09:07,8.0
0.7240,20.0430,0.3680,88.85,1.1030,2025-01-04 19:09:07,8.0
0.7360,20.0310,0.4940,88.8180,1.1330,2025-01-04 19:09:07,8.0
0.7160,19.9960,0.3570,88.9070,1.13,2025-01-04 19:09:07,8.0
0.6970,19.9270,0.43,88.4080,1.0910,2025-01-04 19:09:07,8.0
0.7110,19.9740,0.3290,88.6420,1.0460,2025-01-04 19:09:07,8.0
0.7370,20.0250,0.4090,89.2010,1.1520,2025-01-04 21:14:15,9.0
0.7070,20.0970,0.4450,88.8950,1.0260,2025-01-04 21:14:15,9.0
0.6990,20.0870,0.4230,88.1390,1.0160,2025-01-04 21:14:15,9.0
0.7160,20.0650,0.5290,88.6570,1.1040,2025-01-04 21:14:15,9.0
0.7120,20.0370,0.4690,88.4940,1.0450,2025-01-04 21:14:15,9.0
0.7070,20.0180,0.3460,88.9130,1.0580,2025-01-04 21:14:15,9.0
0.6620,19.9930,0.4970,88.4580,1.0030,2025-01-04 21:14:15,9.0
0.7280,20.0780,0.4230,88.8020,1.1750,2025-01-04 21:14:15,9.0
0.7390,20.1780,0.6680,88.8820,1.1640,2025-01-04 21:14:15,9.0
0.6980,20.0720,0.6270,88.3430,1.0750,2025-01-04 21:14:15,9.0
0.6850,19.9330,0.3710,88.8030,1.0340,2025-01-04 21:14:15,9.0
0.7340,20.0840,0.6410,89.2590,1.1290,2025-01-04 21:14:15,9.0
0.7110,20.04,0.5280,88.9520,1.1110,2025-01-04 21:14:15,9.0
0.7010,19.9590,0.4270,88.7020,1.0370,2025-01-04 21:14:15,9.0
0.7320,19.9840,0.5040,88.9690,1.0770,2025-01-04 21:14:15,9.0
0.7140,20.0620,0.5390,88.6080,1.0370,2025-01-04 21:14:15,9.0
0.6870,20.0210,0.4650,88.4230,1.0330,2025-01-04 21:14:15,9.0
0.7270,20.0250,0.6480,88.7780,1.0490,2025-01-04 21:14:15,9.0
0.6980,20.04,0.5390,88.54,1.0380,2025-01-04 21:14:15,9.0
0.7030,20.0530,0.3880,88.3690,0.9870,2025-01-04 21:14:15,9.0
0.7480,20.2440,0.4090,88.9650,1.1850,2025-01-04 21:24:16,10.0
0.68,20.0650,0.3290,88.71,0.9760,2025-01-04 21:24:16,10.0
0.7430,20.15,0.4020,88.6930,1.1130,2025-01-04 21:24:16,10.0
0.6860,20.1410,0.4760,88.5560,1.04,2025-01-04 21:24:16,10.0
0.73,20.16,0.5990,88.7660,1.1430,2025-01-04 21:24:16,10.0
0.7350,20.1780,0.2980,88.7490,1.1540,2025-01-04 21:24:16,10.0
0.6990,20.1060,0.4170,88.9190,1.0630,2025-01-04 21:24:16,10.0
0.7260,20.1690,0.4860,88.6290,1.0790,2025-01-04 21:24:16,10.0
0.7180,20.2510,0.4620,88.5310,1.05,2025-01-04 21:24:16,10.0
0.7060,20.1190,0.3250,88.8390,1.0480,2025-01-04 21:24:16,10.0
0.6940,20.1160,0.3920,88.59,1.0050,2025-01-04 21:24:16,10.0
0.6870,20.1310,0.4240,88.5480,1.0130,2025-01-04 21:24:16,10.0
0.7480,20.1630,0.3850,88.78,1.1030,2025-01-04 21:24:16,10.0
0.7110,20.0870,0.3640,88.6440,1.1010,2025-01-04 21:24:16,10.0
0.7240,20.1030,0.4550,88.61,1.1460,2025-01-04 21:24:16,10.0
0.7030,20.1160,0.2240,88.3450,1.0450,2025-01-04 21:24:16,10.0
0.7130,20.21,0.5570,88.5940,1.0390,2025-01-04 21:24:16,10.0
0.7190,20.1090,0.5530,88.6820,1.0660,2025-01-04 21:24:16,10.0
0.7670,20.1780,0.6020,88.9980,1.1840,2025-01-04 21:24:16,10.0
0.7260,20.21,0.4510,88.5890,1.0820,2025-01-04 21:24:16,10.0
0.7270,20.0340,0.3150,88.9150,1.0880,2025-01-05 11:02:21,11.0
0.6660,19.8860,0.3010,88.73,0.9510,2025-01-05 11:02:21,11.0
0.7010,20.0280,0.5810,89.0950,0.9590,2025-01-05 11:02:21,11.0
0.6750,19.9430,0.5250,88.9450,0.9450,2025-01-05 11:02:21,11.0
0.6940,19.9710,0.42,88.6760,1.0260,2025-01-05 11:02:21,11.0
0.7050,19.9870,0.49,88.8660,1.0220,2025-01-05 11:02:21,11.0
